행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),외국인-계 (명),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
서울특별시,9639541,4690440,4949101,9249364,390177,2953964,315566,1720691,110968,777205,29534,224878
부산광역시,3372692,1655566,1717126,3312190,60502,1249757,202101,831294,31073,171485,13804,69265
대구광역시,2429940,1203754,1226186,2389848,40092,800340,147565,579777,9438,52880,10680,20910
인천광역시,2952237,1484528,1467709,2852063,100174,1019365,97302,648403,26309,238301,9050,78151
광주광역시,1489730,741287,748443,1456444,33286,526161,82695,419567,9383,8649,5867,14214
대전광역시,1498839,751585,747254,1473692,25147,492797,80106,362190,10470,34727,5304,12247
울산광역시,1143692,591965,551727,1115088,28604,391596,66107,286234,7900,24809,6546,11446
세종특별자치시,338136,170148,167988,330307,7829,132257,16168,112722,1113,1547,707,3204
경기도,13300900,6740448,6560452,12706105,594795,4354776,504227,3021258,128890,665613,34788,260676
강원도,1520127,767717,752410,1493119,27008,627376,236397,346389,20977,12336,11277,16122
충청북도,1629343,832543,796800,1569560,59783,625957,209753,369668,16203,20539,9794,18402
충청남도,2188649,1124678,1063971,2084631,104018,850525,307197,467790,23186,41242,11110,33131
전라북도,1807423,902704,904719,1763463,43960,724524,281271,401005,16556,14999,10693,17145
전라남도,1787543,901813,885730,1739765,47778,787816,401717,346990,15651,10787,12671,24484
경상북도,2668154,1352404,1315750,2586314,81840,1081216,456513,529133,30223,47074,18273,33216
경상남도,3347209,1703892,1643317,3241301,105908,1266739,418312,767442,26476,37378,17131,43193
제주특별자치도,665048,336598,328450,637031,28017,241788,94686,76495,29521,35372,5714,16246
